Date,Product Name,Units Sold,Unit Price
1/1/2026,3x3 Classic Cube,357,10
1/1/2026,2x2 Mini Cube,493,7
1/1/2026,4x4 Master Cube,97,15
1/1/2026,5x5 Professor Cube,457,20
1/1/2026,Pyraminx,212,8
1/1/2026,Megaminx,494,18
1/1/2026,Mirror Cube,282,12
1/1/2026,Ghost Cube,66,25
1/1/2026,Fisher Cube,456,14
1/1/2026,Windmill Cube,112,13
2/1/2026,3x3 Classic Cube,421,10
2/1/2026,2x2 Mini Cube,225,7
2/1/2026,4x4 Master Cube,361,15
2/1/2026,5x5 Professor Cube,476,20
2/1/2026,Pyraminx,63,8
2/1/2026,Megaminx,225,18
2/1/2026,Mirror Cube,187,12
2/1/2026,Ghost Cube,226,25
2/1/2026,Fisher Cube,132,14
2/1/2026,Windmill Cube,477,13
3/1/2026,3x3 Classic Cube,231,10
3/1/2026,2x2 Mini Cube,111,7
3/1/2026,4x4 Master Cube,451,15
3/1/2026,5x5 Professor Cube,118,20
3/1/2026,Pyraminx,318,8
3/1/2026,Megaminx,268,18
3/1/2026,Mirror Cube,210,12
3/1/2026,Ghost Cube,229,25
3/1/2026,Fisher Cube,407,14
3/1/2026,Windmill Cube,291,13
4/1/2026,3x3 Classic Cube,459,10
4/1/2026,2x2 Mini Cube,234,7
4/1/2026,4x4 Master Cube,13,15
4/1/2026,5x5 Professor Cube,488,20
4/1/2026,Pyraminx,151,8
4/1/2026,Megaminx,12,18
4/1/2026,Mirror Cube,442,12
4/1/2026,Ghost Cube,52,25
4/1/2026,Fisher Cube,473,14
4/1/2026,Windmill Cube,188,13
5/1/2026,3x3 Classic Cube,23,10
5/1/2026,2x2 Mini Cube,188,7
5/1/2026,4x4 Master Cube,417,15
5/1/2026,5x5 Professor Cube,314,20
5/1/2026,Pyraminx,384,8
5/1/2026,Megaminx,16,18
5/1/2026,Mirror Cube,192,12
5/1/2026,Ghost Cube,239,25
5/1/2026,Fisher Cube,332,14
5/1/2026,Windmill Cube,91,13
6/1/2026,3x3 Classic Cube,248,10
6/1/2026,2x2 Mini Cube,198,7
6/1/2026,4x4 Master Cube,17,15
6/1/2026,5x5 Professor Cube,102,20
6/1/2026,Pyraminx,344,8
6/1/2026,Megaminx,358,18
6/1/2026,Mirror Cube,239,12
6/1/2026,Ghost Cube,487,25
6/1/2026,Fisher Cube,420,14
6/1/2026,Windmill Cube,274,13
7/1/2026,3x3 Classic Cube,352,10
7/1/2026,2x2 Mini Cube,36,7
7/1/2026,4x4 Master Cube,388,15
7/1/2026,5x5 Professor Cube,80,20
7/1/2026,Pyraminx,216,8
7/1/2026,Megaminx,495,18
7/1/2026,Mirror Cube,246,12
7/1/2026,Ghost Cube,217,25
7/1/2026,Fisher Cube,354,14
7/1/2026,Windmill Cube,336,13
8/1/2026,3x3 Classic Cube,162,10
8/1/2026,2x2 Mini Cube,247,7
8/1/2026,4x4 Master Cube,125,15
8/1/2026,5x5 Professor Cube,150,20
8/1/2026,Pyraminx,410,8
8/1/2026,Megaminx,24,18
8/1/2026,Mirror Cube,424,12
8/1/2026,Ghost Cube,73,25
8/1/2026,Fisher Cube,299,14
8/1/2026,Windmill Cube,187,13
9/1/2026,3x3 Classic Cube,197,10
9/1/2026,2x2 Mini Cube,386,7
9/1/2026,4x4 Master Cube,22,15
9/1/2026,5x5 Professor Cube,255,20
9/1/2026,Pyraminx,473,8
9/1/2026,Megaminx,235,18
9/1/2026,Mirror Cube,384,12
9/1/2026,Ghost Cube,372,25
9/1/2026,Fisher Cube,87,14
9/1/2026,Windmill Cube,163,13
10/1/2026,3x3 Classic Cube,281,10
10/1/2026,2x2 Mini Cube,131,7
10/1/2026,4x4 Master Cube,52,15
10/1/2026,5x5 Professor Cube,244,20
10/1/2026,Pyraminx,318,8
10/1/2026,Megaminx,137,18
10/1/2026,Mirror Cube,179,12
10/1/2026,Ghost Cube,319,25
10/1/2026,Fisher Cube,152,14
10/1/2026,Windmill Cube,116,13
11/1/2026,3x3 Classic Cube,410,10
11/1/2026,2x2 Mini Cube,329,7
11/1/2026,4x4 Master Cube,396,15
11/1/2026,5x5 Professor Cube,311,20
11/1/2026,Pyraminx,67,8
11/1/2026,Megaminx,233,18
11/1/2026,Mirror Cube,357,12
11/1/2026,Ghost Cube,37,25
11/1/2026,Fisher Cube,94,14
11/1/2026,Windmill Cube,491,13
12/1/2026,3x3 Classic Cube,406,10
12/1/2026,2x2 Mini Cube,365,7
12/1/2026,4x4 Master Cube,488,15
12/1/2026,5x5 Professor Cube,486,20
12/1/2026,Pyraminx,173,8
12/1/2026,Megaminx,265,18
12/1/2026,Mirror Cube,320,12
12/1/2026,Ghost Cube,439,25
12/1/2026,Fisher Cube,170,14
12/1/2026,Windmill Cube,193,13
